CDORGAO;CDRECEITA;EXERCICIO;FONTE;FONTENOME;MESREFERENCIA;NOMEORGAO;NOMERECEITA;NOME_SECRETARIA;SECRETARIA;VRARRECADADO;VRPREVISTO
02;1112530201;2024;1500000;Recursos não Vinculados de Impostos;1;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Multas e Juros - ITBI;SECRETARIA MUNICIPAL DE FINANÇAS;06;0.00;7.60
02;1112530201;2024;1500000;Recursos não Vinculados de Impostos;2;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Multas e Juros - ITBI;SECRETARIA MUNICIPAL DE FINANÇAS;06;0.00;45.85
02;1112530201;2024;1500000;Recursos não Vinculados de Impostos;3;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Multas e Juros - ITBI;SECRETARIA MUNICIPAL DE FINANÇAS;06;0.00;1607.87
02;1112530201;2024;1500000;Recursos não Vinculados de Impostos;4;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Multas e Juros - ITBI;SECRETARIA MUNICIPAL DE FINANÇAS;06;0.00;73.51
02;1112530201;2024;1500000;Recursos não Vinculados de Impostos;5;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Multas e Juros - ITBI;SECRETARIA MUNICIPAL DE FINANÇAS;06;0.00;121.99
02;1112530201;2024;1500000;Recursos não Vinculados de Impostos;6;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Multas e Juros - ITBI;SECRETARIA MUNICIPAL DE FINANÇAS;06;0.03;34.62
02;1112530201;2024;1500000;Recursos não Vinculados de Impostos;7;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Multas e Juros - ITBI;SECRETARIA MUNICIPAL DE FINANÇAS;06;845.78;268.23
02;1112530201;2024;1500000;Recursos não Vinculados de Impostos;8;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Multas e Juros - ITBI;SECRETARIA MUNICIPAL DE FINANÇAS;06;0.00;6.81
02;1112530201;2024;1500000;Recursos não Vinculados de Impostos;9;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Multas e Juros - ITBI;SECRETARIA MUNICIPAL DE FINANÇAS;06;160.90;24.85
02;1112530201;2024;1500000;Recursos não Vinculados de Impostos;10;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Multas e Juros - ITBI;SECRETARIA MUNICIPAL DE FINANÇAS;06;157.00;0.00
02;1112530201;2024;1500000;Recursos não Vinculados de Impostos;11;PREFEITURA MUNICIPAL DE UBERLÂNDIA;Multas e Juros - ITBI;SECRETARIA MUNICIPAL DE FINANÇAS;06;0.00;120.34
